# Format: client_id,access,topic

# Groundfloor (B0)
C0,pub,groundfloor/kitchen
C0,pub,groundfloor/living
C0,sub,groundfloor/bedroom
C0,sub,groundfloor/bathroom
C0,pub,groundfloor/common
C0,sub,groundfloor/common

C1,pub,groundfloor/bedroom
C1,pub,groundfloor/bathroom
C1,sub,groundfloor/kitchen
C1,sub,groundfloor/living
C1,pub,groundfloor/common
C1,sub,groundfloor/common

# First floor (B1)
C2,pub,firstfloor/kitchen
C2,pub,firstfloor/living
C2,sub,firstfloor/bedroom
C2,sub,firstfloor/bathroom
C2,pub,firstfloor/common
C2,sub,firstfloor/common

C3,pub,firstfloor/bedroom
C3,pub,firstfloor/bathroom
C3,sub,firstfloor/kitchen
C3,sub,firstfloor/living
C3,pub,firstfloor/common
C3,sub,firstfloor/common

# Second floor (B2)
C4,pub,secondfloor/kitchen
C4,pub,secondfloor/living
C4,sub,secondfloor/bedroom
C4,sub,secondfloor/bathroom
C4,pub,secondfloor/common
C4,sub,secondfloor/common

C5,pub,secondfloor/bedroom
C5,pub,secondfloor/bathroom
C5,sub,secondfloor/kitchen
C5,sub,secondfloor/living
C5,pub,secondfloor/common
C5,sub,secondfloor/common

# Third floor (B3)
C6,pub,thirdfloor/kitchen
C6,pub,thirdfloor/living
C6,sub,thirdfloor/bedroom
C6,sub,thirdfloor/bathroom
C6,pub,thirdfloor/common
C6,sub,thirdfloor/common

C7,pub,thirdfloor/bedroom
C7,pub,thirdfloor/bathroom
C7,sub,thirdfloor/kitchen
C7,sub,thirdfloor/living
C7,pub,thirdfloor/common
C7,sub,thirdfloor/common

# Fourth floor (B4)
C8,pub,fourthfloor/kitchen
C8,pub,fourthfloor/living
C8,sub,fourthfloor/bedroom
C8,sub,fourthfloor/bathroom
C8,pub,fourthfloor/common
C8,sub,fourthfloor/common

C9,pub,fourthfloor/bedroom
C9,pub,fourthfloor/bathroom
C9,sub,fourthfloor/kitchen
C9,sub,fourthfloor/living
C9,pub,fourthfloor/common
C9,sub,fourthfloor/common

# Fifth floor (B5)
C10,pub,fifthfloor/kitchen
C10,pub,fifthfloor/living
C10,sub,fifthfloor/bedroom
C10,sub,fifthfloor/bathroom
C10,pub,fifthfloor/common
C10,sub,fifthfloor/common

C11,pub,fifthfloor/bedroom
C11,pub,fifthfloor/bathroom
C11,sub,fifthfloor/kitchen
C11,sub,fifthfloor/living
C11,pub,fifthfloor/common
C11,sub,fifthfloor/common

# Sixth floor (B6)
C12,pub,sixthfloor/kitchen
C12,pub,sixthfloor/living
C12,sub,sixthfloor/bedroom
C12,sub,sixthfloor/bathroom
C12,pub,sixthfloor/common
C12,sub,sixthfloor/common

C13,pub,sixthfloor/bedroom
C13,pub,sixthfloor/bathroom
C13,sub,sixthfloor/kitchen
C13,sub,sixthfloor/living
C13,pub,sixthfloor/common
C13,sub,sixthfloor/common

# Seventh floor (B7)
C14,pub,seventhfloor/kitchen
C14,pub,seventhfloor/living
C14,sub,seventhfloor/bedroom
C14,sub,seventhfloor/bathroom
C14,pub,seventhfloor/common
C14,sub,seventhfloor/common

C15,pub,seventhfloor/bedroom
C15,pub,seventhfloor/bathroom
C15,sub,seventhfloor/kitchen
C15,sub,seventhfloor/living
C15,pub,seventhfloor/common
C15,sub,seventhfloor/common
